128,134,136,140,146,150,152,158,170,298,
DEV-SLITS-TT2,LO,Bool
DEV-SLITS-TT3,LO,Bool
DEV-SLITS-TT4,LO,Bool
DEV-PS-TT1,LO,Bool
NOT_VACFAIL_CONDITION,LO,Bool
Beam_Permition,LO,Bool
EPS_STATUS,LO,Bool
NOT_DUMP_STORAGE_RING,HMI,Bool
Shutter_OPEN,HMI,Bool
PPS_Status,HMI,Bool
I_Water_PaR_Flow_OK,HMI,Bool
I_Utilities_OK,HMI,Bool
I_Water_Flow_OK,HMI,Bool
I_Temperatures_OK,HMI,Bool
I_Vaccum_OK,HMI,Bool
I_Water_Pres,HMI,Bool
I_Water_Temp_OK,HMI,Bool
NOTI_Gate_Valves_F,HMI,Bool
NOTI_Gate_Valves_W,HMI,Bool
I_RFE,HMI,Bool
I_ROH,HMI,Bool
I_REH1,HMI,Bool
I_REH2,HMI,Bool
I_REH3,HMI,Bool
OH1Status,HMI,Bool
EH1Status,HMI,Bool
EH2Status,HMI,Bool
KEY_STATUS,HMI,Bool
Auxiliar_Flag,HMI,Bool
Beam_Simulation_BS,HMI,Bool
Beam_Simulation_AS,HMI,Bool
GV_failure1,FLG,Bool
GV_failure2,FLG,Bool
GV_failure3,FLG,Bool
NOT_FAIL_CONDITION,FLG,Bool
NOT_WARNING_CONDITION,FLG,Bool
GV_ER_VAC-GV1,GER,Bool
GV_ER_to_O_VAC-GV1,GER,Bool
GV_ER_to_C_VAC-GV1,GER,Bool
GV_ER_M_W_CVAC-GV1,GER,Bool
GV_ER_SCVAC-GV1,GER,Bool
GV_ER_VAC-GV2,GER,Bool
GV_ER_to_O_VAC-GV2,GER,Bool
GV_ER_to_C_VAC-GV2,GER,Bool
GV_ER_M_W_CVAC-GV2,GER,Bool
GV_ER_SCVAC-GV2,GER,Bool
GV_ER_VAC_FV1SC,GER,Bool
GV_ER_to_O_VAC_FV1SC,GER,Bool
GV_ER_to_C_VAC_FV1SC,GER,Bool
GV_ER_M_W_CVAC_FV1SC,GER,Bool
GV_ER_SCVAC_FV1SC,GER,Bool
GV_ER_VAC-GV3,GER,Bool
GV_ER_to_O_VAC-GV3,GER,Bool
GV_ER_to_C_VAC-GV3,GER,Bool
GV_ER_M_W_CVAC-GV3,GER,Bool
GV_ER_SCVAC-GV3,GER,Bool
GV_ER_VAC-GV4,GER,Bool
GV_ER_to_O_VAC-GV4,GER,Bool
GV_ER_to_C_VAC-GV4,GER,Bool
GV_ER_M_W_CVAC-GV4,GER,Bool
GV_ER_SCVAC-GV4,GER,Bool
GV_ER_VAC-GV5,GER,Bool
GV_ER_to_O_VAC-GV5,GER,Bool
GV_ER_to_C_VAC-GV5,GER,Bool
GV_ER_M_W_CVAC-GV5,GER,Bool
GV_ER_SCVAC-GV5,GER,Bool
GV_ER_VAC-GV6,GER,Bool
GV_ER_to_O_VAC-GV6,GER,Bool
GV_ER_to_C_VAC-GV6,GER,Bool
GV_ER_M_W_CVAC-GV6,GER,Bool
GV_ER_SCVAC-GV6,GER,Bool
ER_GV_failure2,ERR,Bool
ER_GV_failure3,ERR,Bool
ER_VAC-VG1,ERR,Bool
ER_DEV-XBPM1-TT1,ERR,Bool
ER_DEV-XBPM1-TT2,ERR,Bool
ER_DEV-XBPM1-TT3,ERR,Bool
ER_DEV-XBPM1-TT4,ERR,Bool
ER_VAC-VG2,ERR,Bool
ER_DEV-XBPM2-TT1,ERR,Bool
ER_DEV-XBPM2-TT2,ERR,Bool
ER_DEV-XBPM2-TT3,ERR,Bool
ER_DEV-XBPM2-TT4,ERR,Bool
ER_VAC-VG3,ERR,Bool
ER_DEV-MSK-TT1,ERR,Bool
ER_DEV-MSK-TT2,ERR,Bool
ER_DEV-MSK-TT3,ERR,Bool
ER_DEV-MSK-TT4,ERR,Bool
ER_VAC-VG4,ERR,Bool
ER_DEV-SLITS-TT1,ERR,Bool
ER_DEV-SLITS-TT2,ERR,Bool
ER_DEV-SLITS-TT3,ERR,Bool
ER_DEV-SLITS-TT4,ERR,Bool
ER_VAC-VG5,ERR,Bool
ER_DEV-PS-TT1,ERR,Bool
ER_VAC-VG6,ERR,Bool
ER_VAC-VG7,ERR,Bool
ER_GV_failure1,ERR,Bool
ER_I_Water_PaR_Flow_OK,ERR,Bool
ER_I_Utilities_OK,ERR,Bool
ER_I_Water_Flow_OK,ERR,Bool
ER_I_Temperatures_OK,ERR,Bool
ER_I_Vaccum_OK,ERR,Bool
ER_I_Water_Pres,ERR,Bool
ER_I_Water_Temp_OK,ERR,Bool
ER_UTL-CAR-PIT,ERR,Bool
ER_UTL-WPR-FIT,ERR,Bool
ER_UTL-WPR-PIT,ERR,Bool
ER_UTL-WPR-TT,ERR,Bool
ER_UTL-WRT-FIT,ERR,Bool
ER_UTL-WRT-PIT,ERR,Bool
ER_UTL-WRT-TT,ERR,Bool
ER_I_Leak_detection,ERR,Bool
ER_I_Leak_trouble,ERR,Bool
ER_VAC-PS1,ERR,Bool
ER_DEV-XBPM1-TT,ERR,Bool
ER_DEV-XBPM1-FIT,ERR,Bool
ER_VAC-PS2,ERR,Bool
ER_DEV-XBPM2-TT,ERR,Bool
ER_DEV-XBPM2-FIT,ERR,Bool
ER_VAC-PS3,ERR,Bool
ER_DEV-MSK-TT,ERR,Bool
ER_DEV-MSK-FIT,ERR,Bool
ER_VAC-PS4,ERR,Bool
ER_DEV-SLITS-TT,ERR,Bool
ER_DEV-SLITS-FIT,ERR,Bool
ER_VAC-PS5,ERR,Bool
ER_VAC-PS6,ERR,Bool
D_UTL-CAR-PIT,ERR,Bool
D_UTL-WPR-FIT,ERR,Bool
D_UTL-WPR-PIT,ERR,Bool
D_UTL-WPR-TT,ERR,Bool
